Rank,Product,Manufacturer,Model,"Overall Score",Responses,"Meets Threshold"
1,"Battery powered spreader",Holmatro,PSP40,87.63,8,Yes
2,"Battery powered ram",Holmatro,PRA40,87.31,8,Yes
3,"Battery powered 32"" Spreader",Hurst,"SP 777 E3 Spreader",85.72,8,Yes
4,"Battery powered cutter",Holmatro,PCU30CL,82.92,8,Yes
5,"Battery powered spreader",TNT,ES100-28-20V,81.1,5,Yes
6,"Battery powered ram",Hurst,"CR 522 E3",80.08,8,Yes
7,"Battery powered cutter",Hurst,"S 789 E3 Cutter",79.92,7,Yes
8,"Battery powered spreader",Amkus,"32"" Spreader",78.91,6,Yes
9,"Battery powered ram",TNT,ETLS-40-20V,78.31,5,Yes
10,"Battery powered 40"" spreader",Hurst,M40,75.59,8,Yes
11,"Battery powered cutter",Amkus,Cutter,74.73,6,Yes
12,"Battery powered ram",Amkus,Ram,72.29,6,Yes
13,"Battery powered cutter",TNT,ESLC-29-20V,65.58,5,Yes
