UNIT NUMBER,,,MILES,,HOURS,,SERVICE TYPE,,,,,,,,,Last Service
,,,,,,,,,,,,,,,,
14501/ Spare,,,84450,,13194,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
20503 / E1,,,24839,,4616,,PMA / FUEL AND OIL FILTERS / ENGINE OIL/ GREASE CHASSIS ,,,,,,,,,
20504 / E4,,,18511,,3526,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
17501 / R3,,,70179,,1128,,PMA / FUEL AND OIL FILTERS / ENGINE OIL/ GREASE CHASSIS ,,,,,,,,,
14500 / Spare,,,89206,,14510,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
1036 / Spare,,,98589,,13392,,PMA / FUEL AND OIL FILTERS / ENGINE OIL/ GREASE CHASSIS ,,,,,,,,,
1035 / Spare,,,110247,,15554,,PMA / FUEL AND OIL FILTERS / ENGINE OIL/ GREASE CHASSIS ,,,,,,,,,
16507 / R2,,,93566,,14918,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
19503 / R22,,,49763,,7726,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
002-16 / E21,,,62233,,11633,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
17502 / R4,,,35941,,8732,,PMA / FUEL AND OIL FILTERS / ENGINE OIL/ GREASE CHASSIS ,,,,,,,,,
1033 / Spare,,,89186,,950,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
002-12 / L1,,,79386,,5367,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
002-18 / Spare,,,83672,,14276,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
002-22 / E3,,,74248,,6981,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
17503 / R44,,,49763,,7726,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
19502 / R11,,,57199,,8702,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
17501 / R3,,,72665,,165,,PMA / FUEL AND OIL FILTER REPLACE ENGINE OIL. GREASE CHASSIS WIPER BLADES,,,,,,,,,
17502 / R4,,,74880,,10557,,PMA / FUEL AND OIL FILTER REPLACE ENGINE OIL. GREASE CHASSIS WIPER BLADES,,,,,,,,,
16507 / R2,,,95206,,15189,,PMA / FUEL AND OIL FILTER REPLACE ENGINE OIL. GREASE CHASSIS WIPER BLADES,,,,,,,,,
20503 / E1,,,26287,,4906,,"PMA / FUEL AND OIL FILTER. REPLACE ENGINE OIL, GREASE CHASSIS WIPER BLADES",,,,,,,,,
1035 / Spare,,,112605,,16013,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
24509 / E2,,,3036,,335,,PMA / FUEL AND OIL FILTERS / ENGINE OIL/ GREASE CHASSIS ,,,,,,WIPER BLADES,,,
20504 / E4,,,19706,,3748,,PMA / FUEL AND OIL FILTERS / ENGINE OIL/ GREASE CHASSIS ,,,,,,WIPER BLADES,,,
19502 / R11,,,59880.7,,9129,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
17503/R44,,,73028,,10045,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
19503/R22,,,52788,,8221,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
14501/Spare,,,87113,,13616,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
16508/R1,,,75218,,15310,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
17502/R4,,,77520,,10872,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
24509/E2,,,5148,,672,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
17501/R3,,,75563,,574,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
20503/E1,,,27836,,5228,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
002-22/E3,,,76306,,7299,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
1036/Spare,,,99238,,13630,,PMC /FUEL AND OIL FILTERS / AIR DRYER / TRANS FILTERS / GREASE CHASSIS,,,,,,,,,
20504/E4,,,20940,,3979,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
002-16/E21,,,62352,,11662,,PMA/FUEL AND OIL FILTERS/ENGINE OIL/GREASE CHASSIS          WIPER BLADES,,,,,,,,,
