field_name,semantic_path,page,input_type,pdf_field_type,alignment,multiline,read_only,font_size,max_length,rect_pdf_llx,rect_pdf_lly,rect_pdf_urx,rect_pdf_ury,tooltip,calculation
p1_event_id,header.event_id,1,text,text,left,False,False,9,60,72.72,508.68,182.52,525.96,Event ID,
p1_applicant_name,header.applicant_name,1,text,text,left,False,False,9,100,232.92,508.68,362.52,525.96,Applicant Name,
p1_department,header.department,1,text,text,left,False,False,9,100,430.56,509.04,564.48,525.96,Department,
p1_report_date,header.date,1,date,text,center,False,False,9,20,618.12,508.68,686.16,526.32,Date,
p1_employee_01_id,employees[0].employee_id,1,text,text,left,False,False,8,50,47.16,423.72,254.16,446.4,Employee 1 ID,
p1_employee_01_name,employees[0].employee_name,1,text,text,left,False,False,8,150,256.32,423.72,744.84,446.4,Employee 1 Name,
p1_employee_02_id,employees[1].employee_id,1,text,text,left,False,False,8,50,47.16,398.88,254.16,421.56,Employee 2 ID,
p1_employee_02_name,employees[1].employee_name,1,text,text,left,False,False,8,150,256.32,398.88,744.84,421.56,Employee 2 Name,
p1_employee_03_id,employees[2].employee_id,1,text,text,left,False,False,8,50,47.16,373.68,254.16,396.72,Employee 3 ID,
p1_employee_03_name,employees[2].employee_name,1,text,text,left,False,False,8,150,256.32,373.68,744.84,396.72,Employee 3 Name,
p1_employee_04_id,employees[3].employee_id,1,text,text,left,False,False,8,50,47.16,348.84,254.16,371.52,Employee 4 ID,
p1_employee_04_name,employees[3].employee_name,1,text,text,left,False,False,8,150,256.32,348.84,744.84,371.52,Employee 4 Name,
p1_employee_05_id,employees[4].employee_id,1,text,text,left,False,False,8,50,47.16,324.0,254.16,346.68,Employee 5 ID,
p1_employee_05_name,employees[4].employee_name,1,text,text,left,False,False,8,150,256.32,324.0,744.84,346.68,Employee 5 Name,
p1_employee_06_id,employees[5].employee_id,1,text,text,left,False,False,8,50,47.16,299.16,254.16,321.84,Employee 6 ID,
p1_employee_06_name,employees[5].employee_name,1,text,text,left,False,False,8,150,256.32,299.16,744.84,321.84,Employee 6 Name,
p1_employee_07_id,employees[6].employee_id,1,text,text,left,False,False,8,50,47.16,274.32,254.16,297.0,Employee 7 ID,
p1_employee_07_name,employees[6].employee_name,1,text,text,left,False,False,8,150,256.32,274.32,744.84,297.0,Employee 7 Name,
p1_employee_08_id,employees[7].employee_id,1,text,text,left,False,False,8,50,47.16,249.12,254.16,272.16,Employee 8 ID,
p1_employee_08_name,employees[7].employee_name,1,text,text,left,False,False,8,150,256.32,249.12,744.84,272.16,Employee 8 Name,
p1_employee_09_id,employees[8].employee_id,1,text,text,left,False,False,8,50,47.16,224.28,254.16,246.96,Employee 9 ID,
p1_employee_09_name,employees[8].employee_name,1,text,text,left,False,False,8,150,256.32,224.28,744.84,246.96,Employee 9 Name,
