field_name,semantic_path,label,group,page,pdf_x0,pdf_y0,pdf_x1,pdf_y1,top_left_x0,top_left_y0,top_left_x1,top_left_y1,font_size_pt,min_font_size_pt,alignment,multiline,max_length,required,format_hint,overflow_strategy
incident_name,report.incident_name,1. Incident Name,header,1,40.0,706.0,234.0,721.0,40.0,71.0,234.0,86.0,8.5,5.5,left,False,160,True,,shrink_to_6pt_then_reject
operational_period_date_from,report.operational_period.date_from,2. Operational Period - Date From,header,1,405.0,721.0,462.0,735.2,405.0,56.8,462.0,71.0,7.5,5.5,center,False,10,True,MM/DD/YYYY,shrink_to_min_then_reject
operational_period_date_to,report.operational_period.date_to,2. Operational Period - Date To,header,1,508.0,721.0,571.5,735.2,508.0,56.8,571.5,71.0,7.5,5.5,center,False,10,True,MM/DD/YYYY,shrink_to_min_then_reject
operational_period_time_from,report.operational_period.time_from,2. Operational Period - Time From,header,1,405.0,705.5,462.0,720.0,405.0,72.0,462.0,86.5,7.5,5.5,center,False,5,True,HHMM or HH:MM,shrink_to_min_then_reject
operational_period_time_to,report.operational_period.time_to,2. Operational Period - Time To,header,1,508.0,705.5,571.5,720.0,508.0,72.0,571.5,86.5,7.5,5.5,center,False,5,True,HHMM or HH:MM,shrink_to_min_then_reject
unit_name,report.unit.name,3. Name,unit,1,40.0,673.5,211.5,689.0,40.0,103.0,211.5,118.5,8.5,5.5,left,False,140,True,,shrink_to_min_then_reject
unit_ics_position,report.unit.ics_position,4. ICS Position,unit,1,220.0,673.5,391.5,689.0,220.0,103.0,391.5,118.5,8.5,5.5,left,False,120,True,,shrink_to_min_then_reject
unit_home_agency_unit,report.unit.home_agency_unit,5. Home Agency (and Unit),unit,1,400.0,673.5,572.0,689.0,400.0,103.0,572.0,118.5,8.0,5.5,left,False,160,True,,shrink_to_min_then_reject
resource_01_name,report.resources[0].name,6. Resources Assigned row 1 - Name,resources_assigned,1,36.8,624.12,215.0,637.68,36.8,154.32,215.0,167.88,7.5,5.5,left,False,120,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_01_ics_position,report.resources[0].ics_position,6. Resources Assigned row 1 - ICS Position,resources_assigned,1,216.8,624.12,395.0,637.68,216.8,154.32,395.0,167.88,7.5,5.5,left,False,100,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
resource_01_home_agency_unit,report.resources[0].home_agency_unit,6. Resources Assigned row 1 - Home Agency (and Unit),resources_assigned,1,396.8,624.12,575.0,637.68,396.8,154.32,575.0,167.88,7.2,5.5,left,False,140,False,,shrink_to_5.5pt_then_reject_or_use_additional_page
